customer_id,signup_date,region,plan,industry,company_size,mrr,tenure_months,churned,nps_score,support_tickets,feature_adoption_score
CUST-000001,2021-08-17,North America,Basic,Retail,Startup,41.35,41,False,37,1,23.5
CUST-000002,2021-02-21,Latin America,Basic,Healthcare,Mid-Market,53.76,46,False,48,3,13.8
CUST-000003,2022-07-18,Europe,Enterprise,Education,SMB,500.16,29,False,45,4,44.8
CUST-000004,2022-05-17,Europe,Basic,Manufacturing,SMB,42.48,31,False,59,1,20.4
CUST-000005,2022-04-03,North America,Enterprise,Finance,Mid-Market,489.62,33,False,36,1,53.6
CUST-000006,2021-10-13,North America,Basic,Finance,SMB,52.49,39,False,50,2,2.9
CUST-000007,2021-07-29,North America,Pro,Finance,Mid-Market,129.82,41,False,32,3,31.0
CUST-000008,2024-01-22,Asia Pacific,Pro,Manufacturing,Startup,146.39,11,False,22,1,41.3
CUST-000009,2021-06-28,Europe,Basic,Technology,Mid-Market,50.35,42,False,12,4,12.8
CUST-000010,2023-05-15,Europe,Basic,Manufacturing,Startup,66.38,19,False,66,0,19.4
CUST-000011,2021-03-07,North America,Basic,Technology,Mid-Market,49.1,46,False,4,2,13.7
CUST-000012,2021-03-03,Latin America,Pro,Finance,Enterprise,145.99,46,False,40,1,9.5
CUST-000013,2021-07-11,Asia Pacific,Pro,Retail,SMB,151.85,42,False,43,5,15.6
CUST-000014,2022-03-24,North America,Pro,Retail,SMB,141.83,33,False,15,2,39.9
CUST-000015,2022-04-22,North America,Basic,Technology,Mid-Market,46.81,32,False,53,4,26.4
CUST-000016,2023-11-01,North America,Basic,Finance,Startup,49.29,14,False,7,1,25.2
CUST-000017,2021-02-24,North America,Basic,Manufacturing,SMB,55.3,46,False,23,3,24.8
CUST-000018,2024-02-24,Europe,Basic,Retail,SMB,42.27,10,False,54,0,18.3
CUST-000019,2022-02-12,North America,Pro,Technology,Mid-Market,148.94,35,False,8,4,29.6
CUST-000020,2024-01-22,North America,Enterprise,Manufacturing,Mid-Market,481.09,11,False,51,3,22.6
CUST-000021,2023-05-10,Europe,Pro,Finance,Mid-Market,154.17,20,False,57,3,4.6
CUST-000022,2022-03-28,North America,Basic,Healthcare,Mid-Market,46.7,33,False,56,1,26.1
