ticket_id,customer_id,created_date,category,priority,resolution_hours,satisfaction_rating
TKT-0000001,CUST-001621,2024-07-26,Account,High,32.2,5
TKT-0000002,CUST-001098,2024-05-12,Account,Medium,51.6,4
TKT-0000003,CUST-003655,2023-12-26,Feature Request,Low,24.4,5
TKT-0000004,CUST-004247,2024-04-08,Account,Medium,38.5,4
TKT-0000005,CUST-002615,2023-02-26,Billing,Medium,22.2,4
TKT-0000006,CUST-000637,2024-01-11,Feature Request,High,71.4,4
TKT-0000007,CUST-003942,2023-07-28,Feature Request,High,61.4,3
TKT-0000008,CUST-003353,2023-07-05,Account,High,103.5,4
TKT-0000009,CUST-001551,2023-02-12,Feature Request,High,88.3,4
TKT-0000010,CUST-000603,2024-07-30,Billing,Low,24.7,4
TKT-0000011,CUST-003913,2023-09-09,Account,Medium,43.7,3
TKT-0000012,CUST-003781,2024-01-21,Account,High,71.6,4
TKT-0000013,CUST-000857,2023-03-20,Bug,Low,29.0,4
TKT-0000014,CUST-004431,2023-08-15,Billing,Low,24.3,4
TKT-0000015,CUST-004559,2024-12-01,Billing,Medium,70.5,4
TKT-0000016,CUST-003814,2024-10-08,Account,Medium,62.9,4
TKT-0000017,CUST-000152,2023-01-21,Feature Request,Medium,61.8,4
TKT-0000018,CUST-001829,2023-03-08,Technical,High,92.0,5
TKT-0000019,CUST-001614,2023-10-23,Account,Medium,16.4,3
TKT-0000020,CUST-002545,2023-11-16,Technical,Low,22.5,5
TKT-0000021,CUST-004063,2024-02-22,Bug,Low,22.4,3
TKT-0000022,CUST-001823,2023-10-08,Technical,High,76.5,5
TKT-0000023,CUST-003178,2023-04-21,Feature Request,High,94.1,5
TKT-0000024,CUST-004885,2024-09-28,Billing,Medium,66.9,4
TKT-0000025,CUST-001197,2024-05-08,Bug,Medium,16.2,3
TKT-0000026,CUST-003669,2023-06-11,Technical,Critical,137.6,3
TKT-0000027,CUST-000801,2024-12-28,Bug,High,116.0,3
TKT-0000028,CUST-000225,2024-07-31,Billing,Low,21.2,3
TKT-0000029,CUST-004029,2024-11-03,Bug,Medium,47.5,4
TKT-0000030,CUST-002142,2023-10-23,Feature Request,Medium,48.3,2
