transaction_id,customer_id,transaction_date,transaction_type,amount
TXN-00000001,CUST-004489,2024-10-30,Add-on,12.06
TXN-00000002,CUST-002360,2023-10-26,Subscription,492.5
TXN-00000003,CUST-004613,2024-12-28,Renewal,496.05
TXN-00000004,CUST-003549,2023-10-01,Upgrade,76.08
TXN-00000005,CUST-001819,2024-09-11,Add-on,212.62
TXN-00000006,CUST-001639,2024-10-22,Upgrade,96.86
TXN-00000007,CUST-001300,2024-02-09,Subscription,47.8
TXN-00000008,CUST-000640,2023-10-05,Upgrade,62.75
TXN-00000009,CUST-000285,2024-03-31,Subscription,40.12
TXN-00000010,CUST-001271,2024-01-07,Renewal,50.23
TXN-00000011,CUST-003169,2024-08-24,Renewal,61.3
TXN-00000012,CUST-000648,2024-06-17,Renewal,153.62
TXN-00000013,CUST-003230,2024-04-06,Add-on,73.39
TXN-00000014,CUST-003324,2024-02-28,Renewal,57.23
TXN-00000015,CUST-002914,2023-06-21,Renewal,40.0
TXN-00000016,CUST-004481,2023-07-08,Add-on,15.33
TXN-00000017,CUST-001491,2023-01-24,Add-on,42.72
TXN-00000018,CUST-001015,2023-05-09,Subscription,50.05
TXN-00000019,CUST-002834,2023-08-29,Add-on,135.17
TXN-00000020,CUST-004407,2024-11-08,Subscription,55.22
TXN-00000021,CUST-002641,2023-09-15,Renewal,47.02
TXN-00000022,CUST-000106,2024-12-18,Add-on,19.43
TXN-00000023,CUST-002591,2023-03-23,Upgrade,84.04
TXN-00000024,CUST-002112,2023-08-04,Upgrade,856.29
TXN-00000025,CUST-002333,2023-06-20,Subscription,494.05
TXN-00000026,CUST-004011,2024-02-11,Upgrade,64.78
TXN-00000027,CUST-004053,2023-04-16,Add-on,16.25
TXN-00000028,CUST-002231,2023-04-08,Renewal,38.88
TXN-00000029,CUST-000926,2023-03-07,Add-on,23.26
TXN-00000030,CUST-002593,2024-04-29,Subscription,148.19
TXN-00000031,CUST-002706,2024-07-15,Renewal,52.99
TXN-00000032,CUST-002993,2023-02-25,Upgrade,60.47
TXN-00000033,CUST-004277,2023-01-27,Upgrade,58.87
TXN-00000034,CUST-004362,2024-02-11,Upgrade,259.42
TXN-00000035,CUST-001377,2024-06-20,Upgrade,251.69
TXN-00000036,CUST-004583,2023-03-27,Renewal,52.76
TXN-00000037,CUST-004987,2023-04-17,Subscription,53.07
TXN-00000038,CUST-000914,2023-09-26,Add-on,4.96
TXN-00000039,CUST-003645,2024-09-24,Renewal,146.52
TXN-00000040,CUST-002953,2023-06-09,Add-on,18.57
TXN-00000041,CUST-002714,2023-03-28,Upgrade,65.78
TXN-00000042,CUST-002593,2024-11-01,Renewal,144.26
TXN-00000043,CUST-001040,2024-02-04,Renewal,492.93
TXN-00000044,CUST-001875,2023-11-13,Renewal,510.51
TXN-00000045,CUST-000523,2023-08-23,Add-on,66.19
TXN-00000046,CUST-003054,2023-09-11,Upgrade,205.49
TXN-00000047,CUST-004712,2023-10-18,Subscription,504.62
TXN-00000048,CUST-004414,2024-03-29,Renewal,49.55
TXN-00000049,CUST-001690,2024-10-03,Upgrade,61.17
TXN-00000050,CUST-001143,2023-05-10,Subscription,47.18
TXN-00000051,CUST-002049,2023-05-15,Renewal,53.31
TXN-00000052,CUST-000742,2024-06-23,Renewal,151.1
TXN-00000053,CUST-004876,2023-06-24,Upgrade,85.17
TXN-00000054,CUST-000313,2023-01-30,Upgrade,617.94
TXN-00000055,CUST-003145,2023-02-05,Subscription,503.15
TXN-00000056,CUST-000607,2024-11-10,Add-on,237.76
TXN-00000057,CUST-004243,2024-01-01,Subscription,144.29
TXN-00000058,CUST-001632,2023-11-30,Subscription,48.17
TXN-00000059,CUST-004383,2024-05-02,Renewal,151.52
TXN-00000060,CUST-000022,2024-04-23,Upgrade,95.24
TXN-00000061,CUST-003028,2024-07-07,Add-on,14.83
TXN-00000062,CUST-004217,2023-10-06,Upgrade,226.93
TXN-00000063,CUST-002405,2024-07-15,Renewal,50.84
TXN-00000064,CUST-002626,2024-03-31,Add-on,49.67
TXN-00000065,CUST-003332,2023-05-19,Add-on,32.59
TXN-00000066,CUST-004766,2024-12-15,Add-on,12.6
TXN-00000067,CUST-000954,2024-07-06,Renewal,155.48
