price,median_income,house_age,avg_rooms,avg_bedrooms,population,avg_occupancy,latitude,longitude,lot_size_sqft,garage_spaces,has_pool,has_basement,distance_to_city,school_rating,property_tax_rate,year_built
272800.14,3.32,40,5.7,0.8,1882,3.12,37.22,-114.06,1536.0,3,0,1,18.2,6,1.24,1984
225760.23,2.57,1,1.3,1.4,1308,3.19,39.63,-116.24,1622.0,2,0,0,4.4,7,0.88,2023
230403.68,3.52,4,3.4,1.2,1328,2.92,36.56,-115.52,4127.0,2,1,0,53.0,3,1.34,2020
293804.31,5.0,30,6.9,1.0,1294,1.98,32.53,-118.28,2194.0,2,0,0,20.6,1,1.08,1994
221936.12,2.48,12,4.3,0.3,433,0.72,38.31,-120.84,5582.0,4,0,0,5.3,4,1.21,2012
302934.43,2.48,35,6.3,1.1,376,2.1,41.55,-114.09,3095.0,2,1,0,2.6,8,1.17,1989
354571.57,5.11,13,5.9,1.4,1072,-0.45,34.94,-121.94,6378.0,2,0,1,14.7,5,1.04,2011
293571.18,3.69,31,7.3,1.3,1312,2.5,40.25,-115.34,6980.0,2,0,1,30.0,7,1.11,1993
200378.71,2.25,38,3.5,0.4,619,2.26,36.83,-114.93,5641.0,2,0,1,13.2,5,1.36,1986
313564.48,3.38,43,6.1,1.7,796,1.6,38.61,-115.92,2310.0,2,0,0,0.2,5,1.53,1981
250756.23,2.26,23,5.4,1.9,1476,3.48,40.96,-123.3,1703.0,4,0,1,23.1,2,1.44,2001
186634.5,2.26,4,4.3,1.0,4125,2.59,39.82,-115.53,5629.0,2,0,1,50.0,6,1.5,2020
216428.96,2.99,16,4.3,2.3,3913,2.67,40.9,-117.53,2959.0,2,0,1,0.7,4,0.75,2008
240725.13,1.26,7,5.8,0.7,4020,4.67,32.59,-117.35,3295.0,2,0,1,24.8,7,0.95,2017
225331.69,1.36,22,6.4,0.5,805,2.61,34.28,-116.24,5294.0,2,1,0,19.0,9,0.89,2002
269750.62,2.17,29,5.6,0.6,1513,3.54,36.52,-119.35,1701.0,3,1,0,7.6,9,0.86,1995
252102.95,1.81,11,5.6,1.2,4858,1.7,40.55,-121.69,4001.0,4,0,0,15.1,9,1.08,2013
219521.32,3.08,33,4.8,0.2,440,3.31,40.46,-118.46,2329.0,2,0,0,2.6,4,0.84,1991
241608.39,1.89,29,4.9,0.9,1251,2.88,34.26,-123.36,4431.0,3,0,1,19.1,7,1.1,1995
179651.75,1.55,39,4.3,2.6,2159,3.11,33.85,-117.41,3616.0,2,1,0,13.1,4,1.01,1985
342025.85,4.89,12,4.7,0.3,462,1.53,40.43,-119.43,4632.0,4,0,0,1.4,6,1.59,2012
316453.77,2.48,7,6.4,0.8,2548,1.64,37.64,-119.23,2410.0,4,0,1,30.4,5,1.15,2017
259393.32,2.79,39,6.6,0.6,6232,2.58,38.45,-122.55,2090.0,2,0,1,2.1,1,1.71,1985
213633.78,1.54,42,3.6,1.0,4815,4.6,40.19,-124.07,2983.0,3,0,1,8.7,9,1.66,1982
243612.7,2.19,48,4.2,0.9,1568,1.27,34.51,-118.08,2230.0,3,1,1,2.1,8,1.14,1976
207145.72,2.84,26,4.4,0.8,3468,5.02,33.8,-117.58,2176.0,2,0,1,15.6,7,1.17,1998
243431.46,1.72,40,5.4,1.0,458,2.15,40.66,-119.27,2099.0,0,1,1,20.1,6,1.43,1984
245052.24,3.16,9,3.0,1.4,2259,3.1,33.56,-116.46,4091.0,2,0,1,44.1,6,0.76,2015
240559.91,2.14,41,4.2,1.8,1416,4.2,33.34,-118.58,7916.0,2,0,1,4.4,5,1.44,1983
257228.24,2.42,34,3.4,1.0,1604,2.57,35.13,-115.59,4431.0,3,0,1,6.8,10,1.66,1990
240330.24,2.14,45,6.1,1.1,1964,2.71,35.51,-121.47,4232.0,2,0,0,7.3,5,0.96,1979
442896.36,5.7,13,5.5,1.3,2465,4.74,34.79,-121.95,4180.0,3,0,1,1.5,3,1.23,2011
263257.44,2.7,36,4.8,0.5,565,4.32,39.55,-121.76,1888.0,2,0,1,24.7,7,1.03,1988
253415.72,1.78,25,3.9,1.0,825,3.84,41.75,-124.18,4215.0,2,1,0,1.3,8,1.5,1999
358346.05,3.78,24,4.8,0.8,1472,2.82,34.4,-115.04,1210.0,3,1,1,6.2,10,1.71,2000
180846.29,1.67,44,4.7,1.6,435,2.91,39.93,-114.01,3593.0,1,0,0,3.2,7,0.8,1980
289269.94,2.96,17,8.0,2.0,2017,1.71,32.92,-115.93,4302.0,0,1,0,16.4,5,1.23,2007
156723.34,1.24,2,7.0,0.7,3519,2.66,33.63,-120.17,4477.0,1,0,1,35.4,6,1.31,2022
194421.84,1.6,13,4.5,1.7,5506,3.08,37.39,-120.78,4128.0,0,1,0,20.6,6,1.41,2011
237774.22,2.94,31,5.7,0.4,1953,2.96,42.0,-116.37,1599.0,3,1,0,22.3,1,1.0,1993
414862.27,3.65,29,6.9,1.2,8177,3.36,41.52,-119.15,2162.0,2,1,1,1.2,6,1.04,1995
261719.13,2.91,50,4.5,1.2,1758,4.33,33.56,-114.64,5366.0,3,0,0,20.1,8,1.66,1974
269744.64,2.6,28,3.4,0.4,661,1.19,34.78,-121.56,3586.0,3,0,0,1.0,6,0.73,1996
201070.62,2.41,27,2.8,0.7,1728,2.24,41.49,-121.1,3491.0,2,0,0,9.9,9,1.24,1997
269830.76,1.5,15,7.4,0.6,1533,4.37,33.93,-114.01,2287.0,1,0,1,17.7,8,1.04,2009
268571.19,2.04,31,5.2,0.4,2732,5.96,39.56,-114.23,1718.0,2,1,0,4.4,8,1.1,1993
286716.63,2.26,40,5.9,-0.2,2245,1.71,32.51,-115.21,2068.0,3,1,0,17.2,6,1.72,1984
292945.99,4.15,15,4.6,1.0,2120,2.25,38.5,-120.25,1488.0,3,1,0,31.9,3,1.21,2009
222787.38,3.12,33,3.6,1.1,3918,1.43,37.2,-115.71,3926.0,0,0,0,31.6,9,1.64,1991
190199.65,1.34,20,3.9,1.1,1281,0.56,36.97,-121.52,688.0,0,0,1,3.2,7,1.62,2004
234072.43,3.09,42,3.5,1.5,2782,3.33,40.38,-121.83,2072.0,1,0,1,4.8,3,1.53,1982
256232.72,2.33,12,6.8,0.1,2263,3.71,33.27,-118.76,7996.0,2,0,1,16.5,3,0.77,2012
236121.09,2.07,37,7.7,0.9,1980,2.64,36.08,-115.47,2678.0,2,0,1,27.6,7,1.2,1987
349333.25,3.47,9,5.6,2.4,1715,2.65,36.74,-123.48,2026.0,3,0,1,9.1,6,1.55,2015
217879.74,4.11,23,3.2,1.5,653,2.87,33.68,-118.56,9111.0,1,0,0,38.3,5,1.57,2001
311342.77,3.95,8,6.2,1.5,1475,2.32,33.31,-118.1,2436.0,1,0,0,12.8,5,1.25,2016
300939.43,1.94,32,7.4,0.6,1553,2.95,34.21,-118.41,8055.0,3,1,0,4.6,6,1.28,1992
232447.95,2.4,48,7.0,1.0,1014,4.66,34.79,-122.21,2594.0,4,0,0,0.3,8,0.91,1976
279122.76,3.1,14,5.5,-0.0,610,2.01,41.68,-123.83,4705.0,2,0,1,24.7,5,0.44,2010
338482.53,4.02,27,5.1,1.4,1158,2.66,37.02,-115.1,9380.0,3,0,0,1.5,8,0.97,1997
248608.61,2.24,25,5.4,1.8,1238,2.85,37.35,-118.47,3212.0,2,0,1,1.2,4,1.72,1999
345739.47,2.52,13,7.3,0.4,618,2.32,39.22,-116.44,2512.0,4,1,1,22.5,8,0.84,2011
255187.84,1.75,21,6.6,0.5,618,3.08,39.0,-120.67,4262.0,4,0,1,0.5,9,1.29,2003
203467.56,1.68,45,4.9,1.1,339,0.0,37.28,-124.05,1818.0,3,0,0,27.7,6,1.43,1979
274852.08,3.76,31,4.9,1.2,2289,3.69,35.73,-121.77,5601.0,0,0,1,13.7,7,1.01,1993
323712.57,4.68,37,4.8,0.8,3953,1.83,35.64,-123.73,2163.0,2,1,0,15.2,5,1.07,1987
217760.41,2.64,48,3.9,0.7,1831,1.99,33.05,-123.68,1379.0,0,1,0,41.7,9,1.09,1976
360478.97,4.06,43,7.5,0.7,1308,2.8,41.05,-122.25,2839.0,3,0,0,30.2,6,1.19,1981
283076.32,3.14,5,4.3,1.1,594,1.33,39.81,-117.85,2397.0,1,1,0,1.2,7,1.36,2019
203285.35,2.1,13,6.2,1.4,309,4.6,38.42,-115.91,874.0,2,0,0,28.8,5,1.37,2011
279295.64,3.14,28,4.5,1.1,1760,2.01,36.26,-115.88,3004.0,1,0,1,16.5,5,0.9,1996
322149.88,5.03,43,4.8,1.0,2958,6.16,38.03,-114.65,1731.0,3,0,1,5.7,5,1.61,1981
237285.51,2.68,25,5.3,0.2,928,3.76,37.11,-117.61,2383.0,3,0,0,28.8,7,1.18,1999
398940.33,5.08,51,6.3,1.5,4206,2.32,35.1,-124.29,1728.0,0,1,0,0.4,4,0.5,1973
180952.28,0.95,35,5.1,1.1,1041,2.63,35.34,-120.54,4154.0,3,0,0,27.3,6,0.85,1989
265998.09,3.78,47,3.8,0.9,4307,3.18,40.81,-123.33,2963.0,1,1,0,14.5,6,1.1,1977
242680.55,2.81,39,5.5,1.2,968,5.04,38.53,-116.34,1441.0,1,0,1,4.5,6,0.98,1985
254460.68,2.41,7,4.3,0.7,214,4.14,32.51,-123.24,6047.0,2,0,0,0.1,6,0.86,2017
268795.06,2.82,38,7.8,0.9,2984,4.05,35.61,-123.39,3488.0,2,0,1,11.1,5,1.16,1986
216245.65,1.23,32,5.1,1.2,864,2.63,35.73,-124.2,2331.0,1,0,1,8.2,6,1.6,1992
262714.78,2.49,3,4.5,0.8,526,2.32,39.21,-114.47,2043.0,2,1,0,29.8,9,1.37,2021
264585.87,3.14,45,8.5,0.3,2657,3.76,39.15,-116.25,2896.0,2,0,0,23.3,2,0.92,1979
368317.23,4.91,39,6.6,0.2,887,4.6,36.91,-121.0,1586.0,4,0,0,13.4,3,1.73,1985
279897.04,2.21,37,4.2,1.3,583,2.83,41.53,-120.55,5771.0,2,0,0,2.5,9,1.45,1987
204702.02,1.97,50,4.3,1.1,5162,2.18,40.79,-123.88,5268.0,2,0,0,19.4,5,0.89,1974
284998.85,2.22,22,6.2,1.1,1534,1.76,40.73,-122.84,2536.0,3,1,1,13.5,6,0.91,2002
337616.51,3.92,8,5.6,0.5,573,0.99,35.81,-121.23,2455.0,3,0,0,0.3,6,1.17,2016
292723.03,3.1,17,6.8,1.1,1248,2.46,36.59,-120.43,1917.0,0,0,0,21.5,4,1.34,2007
228982.48,2.2,27,4.5,0.9,9957,2.69,36.48,-117.99,3415.0,1,0,0,26.7,8,1.53,1997
274524.51,3.34,33,6.6,0.8,1978,2.98,36.68,-120.82,3429.0,2,0,0,22.3,4,0.75,1991
238977.64,2.83,46,2.1,1.1,1081,3.65,40.95,-114.48,4266.0,2,0,1,2.9,8,1.19,1978
