feature,coefficient,abs_coefficient
median_income,40481.176591964795,40481.176591964795
has_pool,24334.93157834298,24334.93157834298
avg_rooms,14940.17300105524,14940.17300105524
has_basement,13588.785392948404,13588.785392948404
garage_spaces,8456.58919125999,8456.58919125999
school_rating,5020.564981815447,5020.564981815447
distance_to_city,-769.748338918018,769.748338918018
avg_occupancy,-342.14981227283766,342.14981227283766
avg_bedrooms,-329.5543888707022,329.5543888707022
house_age,-106.58036875815026,106.58036875815026
year_built,106.58036875798885,106.58036875798885
property_tax_rate,106.3387522009534,106.3387522009534
latitude,48.55914048761848,48.55914048761848
longitude,5.4103995430004685,5.4103995430004685
lot_size_sqft,1.7461631974011318,1.7461631974011318
population,0.011570779196033389,0.011570779196033389
