applicant_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_term_months,credit_history,property_area,credit_score,age,loan_approved,approval_probability
APP-000001,Female,No,1,Graduate,Yes,3314.82,0.0,122913.12,180,1,Semiurban,575,59,0,0.5962
APP-000002,Female,No,1,Graduate,No,3328.4,0.0,61181.1,180,1,Rural,684,49,1,0.8027
APP-000003,Male,No,0,Not Graduate,No,2549.66,0.0,88415.79,36,1,Semiurban,780,35,0,0.5844
APP-000004,Male,Yes,1,Graduate,No,3809.15,5345.71,82503.79,180,1,Rural,695,63,1,0.7385
APP-000005,Male,No,0,Not Graduate,No,1459.2,0.0,53442.37,300,1,Rural,665,28,1,0.4984
APP-000006,Female,Yes,0,Not Graduate,No,1388.56,1531.63,52465.41,180,1,Urban,618,41,1,0.7488
APP-000007,Female,Yes,0,Graduate,No,2509.69,319.92,179217.51,240,1,Urban,713,59,1,0.7269
APP-000008,Male,Yes,0,Not Graduate,No,2063.53,5338.72,136671.67,300,0,Rural,561,39,0,0.374
APP-000009,Male,Yes,2,Graduate,Yes,2510.36,1472.35,147994.68,180,1,Rural,672,43,0,0.6828
APP-000010,Male,Yes,0,Graduate,No,2975.19,5198.08,86197.99,36,1,Semiurban,691,31,0,0.6382
APP-000011,Female,Yes,2,Graduate,No,3061.25,1043.43,104729.2,36,1,Semiurban,629,31,1,0.5938
APP-000012,Male,Yes,3+,Graduate,No,5928.77,552.95,124229.5,240,1,Semiurban,702,44,1,0.788
APP-000013,Male,No,0,Graduate,No,5789.43,0.0,185471.96,24,0,Semiurban,836,56,0,0.5541
APP-000014,Male,Yes,2,Not Graduate,No,3578.93,2478.71,115483.27,360,1,Semiurban,720,60,1,0.6886
APP-000015,Female,Yes,1,Graduate,No,11981.49,1965.82,75552.53,60,1,Semiurban,775,44,0,0.908
APP-000016,Female,No,0,Graduate,No,2751.91,0.0,128675.28,240,1,Rural,748,23,0,0.6965
APP-000017,Female,Yes,0,Not Graduate,Yes,5999.37,4701.02,31758.62,300,1,Urban,799,42,0,0.788
APP-000018,Male,Yes,3+,Not Graduate,No,4931.48,414.04,69254.14,120,1,Urban,642,22,0,0.5343
APP-000019,Male,No,1,Graduate,No,3195.88,0.0,102973.41,180,1,Semiurban,520,44,1,0.7636
APP-000020,Female,Yes,1,Graduate,No,3367.84,695.09,127765.75,360,0,Rural,655,64,0,0.4325
APP-000021,Female,Yes,3+,Graduate,No,2794.25,2611.05,130356.51,360,1,Semiurban,603,50,1,0.5603
APP-000022,Male,No,0,Graduate,No,5739.84,0.0,84158.23,300,1,Semiurban,638,58,1,0.6253
APP-000023,Male,No,0,Graduate,No,7702.32,0.0,93643.77,84,0,Semiurban,619,22,0,0.4549
APP-000024,Male,Yes,0,Not Graduate,No,3721.74,1687.35,86597.71,36,1,Urban,719,41,0,0.6991
APP-000025,Male,Yes,0,Graduate,No,1187.45,1197.11,130066.46,60,1,Semiurban,794,53,0,0.8465
APP-000026,Female,No,3+,Graduate,No,5052.88,0.0,122094.03,60,1,Rural,774,32,1,0.7853
APP-000027,Male,Yes,1,Not Graduate,No,3270.02,1268.54,95058.18,240,1,Semiurban,672,42,0,0.5391
APP-000028,Male,Yes,1,Graduate,No,1933.24,1840.18,76604.79,240,1,Urban,533,64,0,0.6748
APP-000029,Male,Yes,2,Graduate,Yes,3809.19,1438.16,115337.4,36,1,Semiurban,618,45,0,0.6251
APP-000030,Male,Yes,1,Graduate,No,2955.03,1579.38,102586.93,300,1,Semiurban,564,69,0,0.6527
APP-000031,Male,No,0,Not Graduate,Yes,1885.84,0.0,180456.71,240,1,Semiurban,675,47,0,0.6485
APP-000032,Male,No,0,Not Graduate,No,3188.32,0.0,96850.06,180,1,Rural,741,62,0,0.7412
APP-000033,Male,No,1,Not Graduate,No,8489.75,0.0,90575.71,360,1,Semiurban,849,48,1,0.8494
APP-000034,Female,Yes,2,Graduate,No,3964.22,6835.5,70824.97,84,1,Urban,687,36,0,0.8171
APP-000035,Female,Yes,0,Not Graduate,Yes,3697.62,6462.8,181856.43,84,1,Urban,506,35,0,0.5918
APP-000036,Male,No,2,Graduate,No,4760.15,0.0,102043.08,120,1,Urban,555,67,1,0.6863
APP-000037,Female,Yes,0,Graduate,No,4193.41,1267.12,108669.1,180,0,Urban,665,64,1,0.429
APP-000038,Female,No,0,Graduate,No,3076.56,0.0,195683.55,120,1,Semiurban,831,23,0,0.6696
APP-000039,Female,No,0,Graduate,No,4092.98,0.0,157124.61,240,1,Semiurban,763,57,0,0.6418
APP-000040,Male,Yes,1,Graduate,No,3829.43,1160.66,56740.83,300,1,Rural,541,27,1,0.7063
APP-000041,Male,Yes,0,Graduate,No,1003.72,1890.61,159579.98,360,1,Urban,559,41,1,0.706
APP-000042,Male,No,2,Graduate,No,5001.66,0.0,156983.89,240,1,Urban,485,29,0,0.683
APP-000043,Male,No,3+,Graduate,No,3740.53,0.0,49093.31,180,1,Urban,734,59,0,0.8326
APP-000044,Male,Yes,0,Not Graduate,No,5038.43,1245.82,180782.54,180,1,Semiurban,629,38,0,0.7357
APP-000045,Female,No,1,Not Graduate,No,3599.51,0.0,78324.15,84,1,Semiurban,627,24,0,0.6523
APP-000046,Male,Yes,2,Graduate,Yes,2949.93,2076.55,133667.87,84,1,Rural,758,45,0,0.6559
APP-000047,Male,Yes,0,Graduate,No,2054.51,453.13,80380.79,360,1,Rural,599,34,0,0.5514
APP-000048,Female,Yes,1,Graduate,No,4010.64,2113.61,245107.5,84,1,Rural,603,29,0,0.6877
APP-000049,Male,No,3+,Graduate,No,4000.9,0.0,107300.23,180,1,Urban,695,46,0,0.6808
APP-000050,Female,No,1,Not Graduate,No,8183.37,0.0,141738.4,120,0,Semiurban,666,22,0,0.3334
APP-000051,Female,Yes,1,Graduate,No,2724.97,2944.36,105052.71,240,1,Urban,752,40,0,0.7394
APP-000052,Female,Yes,0,Graduate,No,6945.89,1146.1,64831.74,120,1,Urban,595,48,0,0.7795
APP-000053,Female,No,1,Graduate,No,5865.23,0.0,95374.07,240,0,Urban,702,67,0,0.5061
APP-000054,Male,Yes,2,Not Graduate,No,2294.83,1685.41,56273.11,360,1,Rural,643,27,0,0.7394
APP-000055,Male,Yes,0,Graduate,No,1587.71,1042.71,111164.39,84,1,Urban,665,64,1,0.6701
APP-000056,Female,Yes,2,Graduate,No,6692.92,845.9,90864.46,120,1,Rural,664,28,1,0.6081
APP-000057,Female,Yes,1,Graduate,No,4796.03,1923.46,56645.66,120,1,Urban,638,67,0,0.6562
APP-000058,Male,No,0,Not Graduate,Yes,5957.31,0.0,82356.89,120,1,Urban,747,55,0,0.5005
APP-000059,Female,No,0,Not Graduate,Yes,3980.83,0.0,63999.16,84,1,Semiurban,692,34,0,0.6672
APP-000060,Male,Yes,0,Graduate,No,1971.39,1197.24,82201.21,240,1,Rural,577,37,0,0.7216
APP-000061,Female,Yes,1,Not Graduate,No,4056.55,1440.69,92931.74,180,1,Semiurban,696,56,1,0.5988
APP-000062,Male,Yes,0,Not Graduate,No,5382.06,2091.01,131974.48,180,0,Semiurban,647,60,0,0.3349
APP-000063,Female,Yes,0,Not Graduate,No,957.48,3486.5,69486.35,240,1,Urban,641,24,1,0.6701
APP-000064,Female,Yes,0,Not Graduate,Yes,4855.38,1408.56,71014.46,60,0,Semiurban,732,22,0,0.2909
APP-000065,Male,Yes,1,Graduate,No,5985.66,2878.1,113122.42,60,1,Rural,657,26,1,0.6378
APP-000066,Male,No,1,Graduate,No,6368.16,0.0,101155.88,180,1,Urban,690,62,0,0.7557
APP-000067,Male,No,3+,Not Graduate,No,4789.95,0.0,133319.38,120,1,Urban,731,24,0,0.7313
APP-000068,Female,Yes,1,Graduate,No,2828.4,1736.05,90926.15,60,1,Urban,678,49,1,0.7063
APP-000069,Female,No,2,Not Graduate,No,3501.49,0.0,123060.38,240,1,Urban,492,38,0,0.4384
APP-000070,Female,No,1,Graduate,No,1500.48,0.0,30945.2,180,1,Semiurban,760,46,0,0.7515
APP-000071,Female,Yes,1,Graduate,No,6838.65,1462.47,73598.16,84,1,Urban,525,64,0,0.6747
APP-000072,Female,Yes,1,Graduate,No,5854.76,7856.44,100046.38,84,1,Rural,590,54,0,0.6691
APP-000073,Male,Yes,1,Not Graduate,No,2979.36,6484.59,94496.6,240,1,Semiurban,648,30,1,0.6911
APP-000074,Male,Yes,0,Graduate,No,5208.07,3679.13,104620.7,120,1,Semiurban,676,56,0,0.7548
APP-000075,Female,No,3+,Graduate,No,5284.71,0.0,140376.37,84,1,Urban,548,34,1,0.548
APP-000076,Male,No,1,Not Graduate,Yes,1884.8,0.0,79962.17,360,0,Urban,697,51,0,0.2558
APP-000077,Male,Yes,0,Not Graduate,No,12347.98,4991.01,111322.69,36,0,Semiurban,754,68,0,0.4999
APP-000078,Male,No,2,Graduate,No,2200.36,0.0,89916.38,60,1,Urban,661,35,1,0.7286
APP-000079,Male,No,0,Graduate,No,1020.35,0.0,118917.63,240,1,Semiurban,651,28,1,0.7043
APP-000080,Female,Yes,3+,Graduate,No,4634.92,1663.14,120048.98,120,0,Urban,774,34,0,0.5275
APP-000081,Male,Yes,2,Not Graduate,No,4456.75,2908.63,63558.96,240,0,Semiurban,640,43,0,0.4357
APP-000082,Female,No,0,Graduate,No,2872.82,0.0,113270.82,180,0,Urban,483,60,0,0.3637
APP-000083,Male,No,2,Graduate,No,4129.91,0.0,125139.4,24,0,Semiurban,700,41,1,0.5057
APP-000084,Male,No,0,Graduate,No,2273.86,0.0,104666.92,240,1,Semiurban,636,36,1,0.6038
APP-000085,Male,No,1,Graduate,No,1307.32,0.0,114712.51,240,1,Semiurban,624,65,0,0.6261
APP-000086,Female,Yes,0,Graduate,No,6536.7,392.36,105492.77,180,0,Urban,809,38,1,0.5729
APP-000087,Female,Yes,2,Graduate,No,4372.86,1038.89,72251.92,120,0,Semiurban,600,67,0,0.5789
APP-000088,Female,Yes,2,Not Graduate,No,2913.53,2345.08,81908.99,12,1,Semiurban,628,44,0,0.5743
APP-000089,Female,Yes,2,Graduate,No,10374.84,3415.9,105646.28,300,1,Urban,602,46,0,0.6366
APP-000090,Female,No,1,Graduate,No,3050.35,0.0,95631.9,240,1,Semiurban,732,45,0,0.7058
APP-000091,Female,No,1,Graduate,No,5195.34,0.0,75816.3,24,1,Semiurban,756,65,0,0.7558
APP-000092,Female,No,0,Not Graduate,No,2022.88,0.0,74918.04,300,1,Semiurban,732,61,0,0.6043
APP-000093,Female,Yes,1,Graduate,No,968.82,849.13,96029.84,36,1,Semiurban,694,49,1,0.8122
APP-000094,Male,Yes,1,Graduate,No,5264.23,1476.7,56543.19,240,1,Urban,708,35,0,0.7657
APP-000095,Female,Yes,2,Graduate,No,5170.16,3093.76,80939.59,240,0,Urban,721,65,0,0.5017
APP-000096,Female,Yes,2,Graduate,Yes,11484.55,1225.74,162440.32,300,1,Urban,768,21,0,0.7975
APP-000097,Female,No,1,Not Graduate,No,1854.29,0.0,110031.52,60,1,Urban,850,45,0,0.7581
APP-000098,Male,Yes,0,Graduate,No,1330.81,914.37,82399.66,180,1,Urban,715,27,1,0.8692
APP-000099,Female,No,1,Graduate,No,2518.93,0.0,82238.8,180,1,Semiurban,629,29,1,0.6485
APP-000100,Female,No,3+,Not Graduate,No,5076.41,0.0,258320.07,24,1,Rural,510,44,1,0.5729
APP-000101,Male,Yes,2,Graduate,No,978.72,1086.38,97372.79,240,1,Semiurban,758,21,0,0.7676
APP-000102,Female,Yes,2,Graduate,No,3819.33,4306.42,122387.49,84,1,Rural,778,64,0,0.8464
APP-000103,Male,No,1,Graduate,No,2759.05,0.0,73950.84,120,1,Semiurban,635,28,0,0.6629
APP-000104,Male,Yes,2,Graduate,Yes,2865.39,17746.07,120171.56,84,1,Semiurban,689,44,1,0.8716
APP-000105,Male,No,2,Graduate,No,2150.98,0.0,56961.59,36,1,Semiurban,741,31,1,0.8171
APP-000106,Male,Yes,1,Graduate,No,7087.81,2154.87,84161.85,60,1,Rural,555,37,1,0.7814
APP-000107,Female,Yes,1,Not Graduate,No,1398.76,516.52,87975.62,84,1,Rural,516,28,0,0.4916
APP-000108,Male,Yes,0,Graduate,No,6431.65,1138.18,41672.82,180,1,Urban,643,55,0,0.7934
APP-000109,Male,Yes,2,Graduate,No,4867.31,3125.32,118962.74,60,1,Semiurban,618,55,0,0.6924
APP-000110,Male,No,0,Graduate,No,2732.8,0.0,80790.0,300,1,Urban,800,53,0,0.6856
APP-000111,Male,Yes,0,Graduate,No,9178.85,773.34,137103.44,84,1,Semiurban,686,25,0,0.7586
APP-000112,Male,No,2,Not Graduate,No,1172.92,0.0,89080.94,240,1,Urban,751,62,1,0.6712
APP-000113,Female,No,0,Graduate,No,6629.97,0.0,66802.72,60,1,Semiurban,512,59,1,0.6937
APP-000114,Male,No,1,Not Graduate,No,1881.0,0.0,121893.05,240,0,Urban,663,61,0,0.3707
APP-000115,Female,Yes,0,Graduate,No,2766.18,7203.73,93441.44,36,0,Rural,643,48,0,0.4726
APP-000116,Female,Yes,0,Graduate,Yes,4389.33,2178.99,100343.19,240,1,Semiurban,695,27,1,0.6965
APP-000117,Male,Yes,2,Graduate,Yes,6821.43,4437.78,121473.4,120,1,Rural,743,29,1,0.7051
APP-000118,Female,Yes,0,Graduate,No,2051.9,469.94,107630.88,180,0,Semiurban,651,28,1,0.3865
APP-000119,Male,No,1,Graduate,No,5127.07,0.0,76597.82,120,1,Urban,762,32,0,0.7771
APP-000120,Male,Yes,0,Not Graduate,No,2798.12,1646.43,49948.99,120,1,Rural,675,54,1,0.6543
APP-000121,Male,No,3+,Graduate,No,2180.79,0.0,67453.59,12,1,Urban,625,53,1,0.5928
APP-000122,Male,Yes,2,Not Graduate,Yes,1357.31,1503.41,91673.63,24,1,Urban,658,68,0,0.4943
APP-000123,Male,No,0,Graduate,No,2899.14,0.0,97770.33,240,1,Semiurban,500,43,0,0.5314
APP-000124,Female,Yes,3+,Graduate,No,1689.1,711.42,176003.03,84,1,Urban,769,44,1,0.7286
