feature,coefficient,abs_coefficient
credit_history,0.23145454264607448,0.23145454264607448
applicant_income,0.11402783874125673,0.11402783874125673
education,-0.07377486024857571,0.07377486024857571
credit_score,0.0680193621346903,0.0680193621346903
coapplicant_income,0.04773150151926561,0.04773150151926561
loan_amount,-0.04695982551890691,0.04695982551890691
self_employed,-0.039886017894124985,0.039886017894124985
property_area,0.03797279335017058,0.03797279335017058
dependents,-0.02835337317527469,0.02835337317527469
age,-0.02125583103729515,0.02125583103729515
married,0.015519878773569869,0.015519878773569869
gender,-0.014315402020837666,0.014315402020837666
loan_term_months,-0.004326621220800132,0.004326621220800132
